Year,Quarter,Region,Age,Gender,Employment rate of people with mental illness,Employment rate of population ,Composite Year
2009,1,England,35 to 39,Any,32,80,'09
2009,1,England,40 to 44,Any,29,82,'09
2009,1,England,45 to 49,Any,30,82,'09
2009,1,England,50 to 54,Any,30,80,'09
2009,1,England,55 to 59,Any,22,71,'09
2009,1,England,60 to 64,Any,19,46,'09
2009,4,England,All,Any,28,71,'09
2009,3,England,All,Any,27,71,'09
2009,2,England,All,Any,27,70,'09
2009,1,England,All,Any,28,71,'09
2009,4,England,All,Female,28,66,'09
2009,4,England,All,Male,27,76,'09
2009,3,England,All,Female,26,66,'09
2009,3,England,All,Male,26,76,'09
2009,2,England,All,Female,28,65,'09
2009,2,England,All,Male,27,76,'09
2009,1,England,All,Female,28,66,'09
2009,1,England,All,Male,29,77,'09
2009,4,London ,All,Any,27,68,'09
2009,3,London ,All,Any,23,68,'09
2009,2,London ,All,Any,22,67,'09
2009,1,London ,All,Any,23,69,'09
2009,4,Merseyside ,All,Any,18,64,'09
2009,3,Merseyside ,All,Any,14,65,'09
2009,2,Merseyside ,All,Any,16,66,'09
2009,1,Merseyside ,All,Any,17,65,'09
2009,4,North East ,All,Any,25,67,'09
2009,3,North East ,All,Any,22,66,'09
2009,2,North East ,All,Any,24,64,'09
2009,1,North East ,All,Any,24,67,'09
2009,4,North West ,All,Any,22,69,'09
2009,3,North West ,All,Any,22,69,'09
2009,2,North West ,All,Any,23,69,'09
2009,1,North West ,All,Any,22,70,'09
2009,4,South East ,All,Any,37,75,'09
2009,3,South East ,All,Any,34,75,'09
2009,2,South East ,All,Any,37,75,'09
2009,1,South East ,All,Any,34,75,'09
2009,4,South West ,All,Any,28,73,'09
2009,3,South West ,All,Any,33,73,'09
2009,2,South West ,All,Any,30,74,'09
2009,1,South West ,All,Any,35,75,'09
2009,4,West Midlands ,All,Any,26,69,'09
2009,3,West Midlands ,All,Any,29,68,'09
2009,2,West Midlands ,All,Any,28,68,'09
2009,1,West Midlands ,All,Any,27,68,'09
2009,4,Yorkshire,All,Any,25,69,'09
2009,3,Yorkshire,All,Any,24,69,'09
2009,2,Yorkshire,All,Any,26,68,'09
2009,1,Yorkshire,All,Any,29,69,'09
2010,4,East Midlands ,All,Any,31,71,'10
2010,3,East Midlands ,All,Any,31,71,'10
2010,2,East Midlands ,All,Any,28,70,'10
2010,1,East Midlands ,All,Any,31,70,'10
2010,4,Eastern ,All,Any,33,74,'10
2010,3,Eastern ,All,Any,30,74,'10
2010,2,Eastern ,All,Any,33,73,'10
2010,1,Eastern ,All,Any,31,73,'10
2010,4,England,16 to 19,Any,19,35,'10
2010,4,England,20 to 24,Any,27,63,'10
2010,4,England,25 to 29,Any,36,78,'10
2010,4,England,30 to 34,Any,33,80,'10
2010,4,England,35 to 39,Any,32,79,'10
2010,4,England,40 to 44,Any,31,81,'10
2010,4,England,45 to 49,Any,38,82,'10
2010,4,England,50 to 54,Any,28,79,'10
2010,4,England,55 to 59,Any,23,71,'10
2010,4,England,60 to 64,Any,12,45,'10
2010,3,England,16 to 19,Any,20,37,'10
2010,3,England,20 to 24,Any,33,66,'10
2010,3,England,25 to 29,Any,34,77,'10
2010,3,England,30 to 34,Any,33,79,'10
2010,3,England,35 to 39,Any,31,78,'10
2010,3,England,40 to 44,Any,35,81,'10
2010,3,England,45 to 49,Any,35,83,'10
2010,3,England,50 to 54,Any,30,80,'10
2010,3,England,55 to 59,Any,27,71,'10
2010,3,England,60 to 64,Any,11,45,'10
2010,2,England,16 to 19,Any,20,35,'10
2010,2,England,20 to 24,Any,31,61,'10
2010,2,England,25 to 29,Any,36,77,'10
2010,2,England,30 to 34,Any,35,79,'10
2010,2,England,35 to 39,Any,27,79,'10
2010,2,England,40 to 44,Any,36,81,'10
2010,2,England,45 to 49,Any,34,82,'10
2010,2,England,50 to 54,Any,32,80,'10
2010,2,England,55 to 59,Any,26,71,'10
2010,2,England,60 to 64,Any,14,44,'10
2010,1,England,16 to 19,Any,20,35,'10
2010,1,England,20 to 24,Any,31,60,'10
2010,1,England,25 to 29,Any,38,76,'10
2010,1,England,30 to 34,Any,36,78,'10
2010,1,England,35 to 39,Any,29,79,'10
2010,1,England,40 to 44,Any,35,81,'10
2010,1,England,45 to 49,Any,32,82,'10
2010,1,England,50 to 54,Any,30,79,'10
2010,1,England,55 to 59,Any,31,72,'10
2010,1,England,60 to 64,Any,11,45,'10
2010,4,England,All,Any,28,71,'10
2010,3,England,All,Any,29,71,'10
2010,2,England,All,Any,29,70,'10
2010,1,England,All,Any,30,70,'10
2010,4,England,All,Female,30,65,'10
2010,4,England,All,Male,26,65,'10
2010,3,England,All,Female,30,65,'10
2010,3,England,All,Male,28,77,'10
2010,2,England,All,Female,30,65,'10
2010,2,England,All,Male,28,75,'10
2010,1,England,All,Female,30,65,'10
2010,1,England,All,Male,28,75,'10
2010,4,London ,All,Any,30,68,'10
2010,3,London ,All,Any,29,69,'10
2010,2,London ,All,Any,29,68,'10
2010,1,London ,All,Any,30,67,'10
2010,4,Merseyside ,All,Any,18,64,'10
2010,3,Merseyside ,All,Any,22,64,'10
2010,2,Merseyside ,All,Any,19,64,'10
2010,1,Merseyside ,All,Any,21,64,'10
2010,4,North East ,All,Any,20,65,'10
2010,3,North East ,All,Any,22,68,'10
2010,2,North East ,All,Any,23,67,'10
2010,1,North East ,All,Any,25,66,'10
2010,4,North West ,All,Any,25,70,'10
2010,3,North West ,All,Any,26,70,'10
2010,2,North West ,All,Any,26,70,'10
2010,1,North West ,All,Any,24,69,'10
2010,4,South East ,All,Any,37,75,'10
2010,3,South East ,All,Any,38,75,'10
2010,2,South East ,All,Any,39,74,'10
2010,1,South East ,All,Any,41,74,'10
2010,4,South West ,All,Any,28,74,'10
2010,3,South West ,All,Any,29,74,'10
2010,2,South West ,All,Any,30,73,'10
2010,1,South West ,All,Any,30,72,'10
2010,4,West Midlands ,All,Any,25,68,'10
2010,3,West Midlands ,All,Any,28,69,'10
2010,2,West Midlands ,All,Any,26,69,'10
2010,1,West Midlands ,All,Any,26,68,'10
2010,4,Yorkshire,All,Any,24,68,'10
2010,3,Yorkshire,All,Any,26,68,'10
2010,2,Yorkshire,All,Any,28,69,'10
2010,1,Yorkshire,All,Any,29,68,'10
2011,4,East Midlands ,All,Any,33,71,'11
2011,3,East Midlands ,All,Any,34,72,'11
2011,2,East Midlands ,All,Any,35,71,'11
2011,1,East Midlands ,All,Any,35,71,'11
2011,4,Eastern ,All,Any,40,74,'11
2011,3,Eastern ,All,Any,35,74,'11
2011,2,Eastern ,All,Any,37,74,'11
2011,1,Eastern ,All,Any,36,74,'11
2011,4,England,16 to 19,Any,17,34,'11
2011,4,England,20 to 24,Any,30,62,'11
2011,4,England,25 to 29,Any,32,76,'11
2011,4,England,30 to 34,Any,35,79,'11
2011,4,England,35 to 39,Any,32,80,'11
2011,4,England,40 to 44,Any,32,82,'11
2011,4,England,45 to 49,Any,37,82,'11
2011,4,England,50 to 54,Any,34,80,'11
2011,4,England,55 to 59,Any,25,70,'11
2011,4,England,60 to 64,Any,18,43,'11
2011,3,England,16 to 19,Any,17,34,'11
2011,3,England,20 to 24,Any,26,63,'11
2011,3,England,25 to 29,Any,32,76,'11
2011,3,England,30 to 34,Any,33,78,'11
2011,3,England,35 to 39,Any,31,79,'11
2011,3,England,40 to 44,Any,32,82,'11
2011,3,England,45 to 49,Any,37,81,'11
2011,3,England,50 to 54,Any,31,80,'11
2011,3,England,55 to 59,Any,25,69,'11
2011,3,England,60 to 64,Any,16,44,'11
2011,2,England,16 to 19,Any,16,33,'11
2011,2,England,20 to 24,Any,28,62,'11
2011,2,England,25 to 29,Any,32,77,'11
2011,2,England,30 to 34,Any,29,79,'11
2011,2,England,35 to 39,Any,30,79,'11
2011,2,England,40 to 44,Any,30,81,'11
2011,2,England,45 to 49,Any,34,82,'11
2011,2,England,50 to 54,Any,29,79,'11
2011,2,England,55 to 59,Any,25,70,'11
2011,2,England,60 to 64,Any,14,45,'11
2011,1,England,16 to 19,Any,17,33,'11
2011,1,England,20 to 24,Any,31,61,'11
2011,1,England,25 to 29,Any,34,78,'11
2011,1,England,30 to 34,Any,34,79,'11
2011,1,England,35 to 39,Any,30,80,'11
2011,1,England,40 to 44,Any,31,81,'11
2011,1,England,45 to 49,Any,34,82,'11
2011,1,England,50 to 54,Any,29,79,'11
2011,1,England,55 to 59,Any,22,70,'11
2011,1,England,60 to 64,Any,13,45,'11
2011,4,England,All,Any,30,70,'11
2011,3,England,All,Any,29,70,'11
2011,2,England,All,Any,27,70,'11
2011,1,England,All,Any,28,70,'11
2011,4,England,All,Female,29,65,'11
2011,4,England,All,Male,27,75,'11
2011,3,England,All,Female,31,65,'11
2011,3,England,All,Male,26,76,'11
2011,2,England,All,Female,29,65,'11
2011,2,England,All,Male,25,75,'11
2011,1,England,All,Female,30,65,'11
2011,1,England,All,Male,25,75,'11
2011,4,London ,All,Any,24,67,'11
2011,3,London ,All,Any,24,67,'11
2011,2,London ,All,Any,23,68,'11
2011,1,London ,All,Any,25,68,'11
2011,4,Merseyside ,All,Any,21,64,'11
2011,3,Merseyside ,All,Any,23,66,'11
2011,2,Merseyside ,All,Any,19,66,'11
2011,1,Merseyside ,All,Any,17,65,'11
2011,4,North East ,All,Any,21,66,'11
2011,3,North East ,All,Any,19,65,'11
2011,2,North East ,All,Any,19,66,'11
2011,1,North East ,All,Any,19,65,'11
2011,4,North West ,All,Any,22,70,'11
2011,3,North West ,All,Any,25,69,'11
2011,2,North West ,All,Any,23,69,'11
2011,1,North West ,All,Any,24,68,'11
2011,4,South East ,All,Any,37,74,'11
2011,3,South East ,All,Any,36,74,'11
2011,2,South East ,All,Any,33,74,'11
2011,1,South East ,All,Any,35,75,'11
2011,4,South West ,All,Any,35,74,'11
2011,3,South West ,All,Any,34,74,'11
2011,2,South West ,All,Any,28,72,'11
2011,1,South West ,All,Any,31,73,'11
2011,4,West Midlands ,All,Any,28,68,'11
2011,3,West Midlands ,All,Any,26,68,'11
